file,text,spans_multiple_words,spans_line_break,confidence,notes,document_notes
no-nb_digimanus_313806_0002,trods,FALSE,FALSE,certain,clear and distinct,"Clear, decipherable text"
no-nb_digimanus_313806_0002,alt,FALSE,FALSE,certain,clear and distinct,"Clear, decipherable text"
0001_page_19741519_docId_477905,stormer,FALSE,FALSE,certain,fine line but clear,"Clear, decipherable text but potential confusion with crossbar of t"
0001_page_19741519_docId_477905,regner,FALSE,FALSE,certain,fine line but clear,"Clear, decipherable text but potential confusion with crossbar of t"
0001_page_19741519_docId_477905,skal ,FALSE,FALSE,certain,fine line but clear,"Clear, decipherable text but potential confusion with crossbar of t"
0001_page_19741519_docId_477905,alle,FALSE,FALSE,certain,fine line but clear,"Clear, decipherable text but potential confusion with crossbar of t"
no-nb_digimanus_73009_0001,Jeg tar ikke Langfeldts Navn ut av min Bok.,TRUE,FALSE,certain,"continuous line, clear and distinct",Clear format
no-nb_digimanus_52747_0001,bestemt Dag i hver eneste Uke,TRUE,TRUE,certain,"continuous line spanning two lines, clear and distinct",Clear format
no-nb_digimanus_52618_0001,absolut,FALSE,FALSE,certain,clear and distinct,Handwriting slightly more condensed at bottom of page
no-nb_digimanus_52618_0001,i opvarmet Rum,TRUE,FALSE,certain,"continuous line, clear and distinct",Handwriting slightly more condensed at bottom of page
no-nb_digimanus_317348_0001,må,FALSE,FALSE,certain,clear and distinct,Confusion may arise due to use of hyphens that resembel underlining
no-nb_digimanus_311001_0001,i tilfælde,TRUE,FALSE,certain,clear and distinct,Clear
no-nb_digimanus_258197_0002,hverken har lyst eller evne,TRUE,TRUE,certain,"continuous line spanning two lines, clear and distinct",Clear
no-nb_digimanus_258197_0002,denne anvendelse,TRUE,TRUE,certain,"line begins under or just after i, runs clearly under denne — boundary of i ambiguous, probable intent to underline both",Clear
no-nb_digimanus_258197_0001,ikke under nogen omstændighed,TRUE,TRUE,certain,"continuous line spanning two lines, clear and distinct but word under is smudged",Clear except for the smudged word
no-nb_digimanus_25418_0001,uden,FALSE,FALSE,certain,clear and distinct,Clear even though handwriting is small
no-nb_digimanus_214549_0001,før,FALSE,FALSE,certain,clear and distinct,Clear
fhka006_3,ædru,FALSE,FALSE,certain,clear and distinct,Clear enough
fhka006_3,uædru,FALSE,FALSE,probable,"clear and distinct but onlig the letter u in part of the word uædruelige that spans over 2 lines
elige is on next line without hypen",Clear enough
